State,2018,2017,2014,2010,2005,2000,1996
Alabama,7.8,8.6,5.7,5.7,8.2,7.4,10.4
Alaska,8.2,8.4,5.6,4.3,4.8,4.3,7.4
Arizona,5.1,6.0,4.7,6.4,7.5,7.0,8.5
Arkansas,7.2,8.3,5.6,4.6,6.7,6.3,8.7
California,4.4,4.6,4.4,4.8,6.9,6.1,9.1
Colorado,3.7,4.0,2.8,2.6,3.7,3.1,4.7
Connecticut,2.3,2.9,2.4,3.7,2.9,2.9,4.8
Delaware,5.0,5.3,5.8,5.7,4.4,12.5,6.4
Florida,5.2,5.0,5.8,5.2,5.0,5.6,7.5
Georgia,6.1,6.5,5.7,5.7,6.2,8.0,9.5
Hawaii,2.5,2.7,1.8,1.8,1.9,2.9,3.4
Idaho,2.0,2.4,2.0,1.4,2.4,1.2,3.6
Illinois,6.9,7.7,5.3,5.5,6.0,7.2,10
Indiana,6.5,6.2,5.0,4.1,5.7,5.8,7.2
Iowa,1.7,3.1,1.9,1.2,1.3,1.6,1.9
Kansas,3.9,4.6,3.1,3.4,3.7,6.3,6.6
Kentucky,5.5,5.9,3.6,4.3,4.6,4.8,5.9
Louisiana,11.4,12.3,10.3,11.0,9.9,12.5,10.5
Maine,1.8,1.7,1.6,1.8,1.4,1.2,2.0
Maryland,8.1,9.3,6.1,7.4,9.9,8.1,11.6
Massachusetts,2.0,2.5,2.0,3.3,2.7,2.0,2.6
Michigan,5.5,5.7,5.4,5.9,6.1,6.7,7.5
Minnesota,1.9,2.0,1.6,1.8,2.2,3.1,3.6
Mississippi,5.7,6.4,8.6,6.9,7.3,9.0,11.1
Missouri,9.9,9.8,6.6,7.0,6.9,6.2,8.1
Montana,3.2,3.9,3.6,2.5,1.9,1.8,3.9
Nebraska,2.3,2.2,2.9,3.0,2.5,3.7,2.9
Nevada,6.7,8.9,6.0,5.8,8.5,6.5,13.7
New Hampshire,1.5,1.0,0.9,1.0,1.4,1.8,1.7
New Jersey,3.2,3.6,3.9,4.2,4.8,3.4,4.2
New Mexico,8.0,6.9,4.8,6.8,7.4,7.4,11.5
New York,2.9,2.8,3.1,4.5,4.5,5.0,7.4
North Carolina,6.0,6.1,5.1,5.0,6.7,7.0,8.5
North Dakota,2.4,1.3,3.0,1.5,1.1,0.6,2.2
Ohio,4.8,6.4,4.0,4.2,5.1,3.7,4.8
Oklahoma,5.2,6.2,4.5,5.2,5.3,5.3,6.8
Oregon,2.0,2.5,2.0,2.5,2.2,2.0,4.0
Pennsylvania,6.1,5.8,4.8,5.1,6.1,4.9,5.7
Rhode Island,1.5,2.0,2.4,2.8,3.2,4.3,2.5
South Carolina,7.7,7.6,6.4,5.7,7.4,5.8,9.0
South Dakota,1.4,3.1,2.3,2.8,2.3,0.9,1.2
Tennessee,7.4,8.0,5.7,5.6,7.2,7.2,9.5
Texas,4.6,5.0,4.4,4.9,6.2,5.9,7.7
Utah,1.9,2.4,2.3,1.9,2.3,1.9,3.2
Vermont,1.6,2.7,1.6,1.1,1.3,1.5,1.9
Virginia,4.6,5.6,7.5,4.7,6.1,5.7,7.5
Washington,3.1,3.0,2.5,2.3,3.3,3.3,4.6
West Virginia,3.7,5.4,4.0,3.1,4.4,2.5,3.8
Wisconsin,3.0,3.3,2.9,2.7,3.5,3.2,4.2
Wyoming,2.3,2.4,2.7,1.4,2.7,2.4,3.3
