Activity.Therapeutic area_Immunology,Activity.Therapeutic area_Neurology,Activity.Therapeutic area_Others,Project.Legal entity (Plant)_BE11,Project.Legal entity (Plant)_CN01,Project.Legal entity (Plant)_DE10,Project.Legal entity (Plant)_GB01,Project.Legal entity (Plant)_JP01,Project.Legal entity (Plant)_Others,Project.Legal entity (Plant)_US05,Project.Responsibility_Medical Affairs.1,Project.Responsibility_Others,Project.Responsibility_PVU Immunology,Project.Responsibility_PVU Neurology,Project.Responsibility_PVU New Medicines,Project.Responsibility_SPEAR,Project.Impact on patient_Direct impact on patients,Project.Impact on patient_Others,Project.Impact on patient_false,Project.R&D Priority_Core,Project.R&D Priority_Focused,Project.R&D Priority_Platinum,Project.R&D Priority_false,Activity.Number of patients,Activity.Number of sites,Activity.Nb of target countries,Activity.Duration,indication,OUTPUT
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,50.0,20.0,1.0,3144960.0,3,120.721839
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,600.0,40.0,1.0,2452320.0,2,47.44300000000001
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,500.0,200.0,1.0,4019040.0,1,1.716
1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,165.0,35.0,1.0,1524960.0,3,131.178529
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,436.0,28.0,1.0,3047040.0,1,1.75
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,736.0,99.0,14.0,2901600.0,1,2.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,274.0,100.0,2.0,3647520.0,1,15.725
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,25.0,1.0,1.0,2649600.0,2,21.325
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,548.0,72.0,2.0,3712320.0,2,56.125
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,131.0,50.0,5.0,2728800.0,1,8.425
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,50.0,20.0,10.0,2446560.0,2,45.68
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,250.0,198.0,23.0,3287520.0,2,60.25
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,100.0,35.0,4.0,3078720.0,2,26.885
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,42.0,25.0,3.0,4030560.0,2,23.775
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,18.0,35.0,4.0,3564000.0,1,17.425
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,767.0,195.0,17.0,3988800.0,3,101.85
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,135.0,20.0,1.0,1740960.0,3,147.375
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,50.0,1.0,1.0,1199520.0,1,6.0
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,72.0,1.0,1.0,1306080.0,2,33.15
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,120.0,100.0,13.0,2298240.0,2,49.125
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,45.0,25.0,1.0,3414240.0,1,0.25
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,857.0,109.0,26.0,3872160.0,1,9.0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,12.0,1.0,1.0,3242880.0,1,4.8
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,60.0,1.0,1.0,997920.0,1,7.425
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,250.0,198.0,23.0,5228640.0,2,56.4
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,30.0,8.0,1.0,1392480.0,1,15.4
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,888.0,241.0,29.0,7233120.0,3,233.05
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,240.0,11.0,1.0,2704320.0,1,13.15
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,50.0,20.0,6.0,2452320.0,2,49.35
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,595.0,206.0,29.0,4939200.0,1,8.0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,42.0,2.0,2.0,1251360.0,1,2.3
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,11.0,5.0,3.0,2340000.0,2,24.75
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,390.0,131.0,20.0,7544160.0,1,14.0
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,853.0,154.0,26.0,7452000.0,2,73.325
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,200.0,30.0,1.0,1467360.0,3,177.85
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,20.0,1.0,1.0,2106720.0,1,4.8
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,900.0,150.0,1.0,8375040.0,1,16.35
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,420.0,240.0,23.0,7244640.0,1,2.0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,36.0,6.0,3.0,2449440.0,2,64.625
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,527.0,159.0,29.0,3401280.0,3,163.8
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,780.0,165.0,30.0,2571840.0,3,139.47
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,160.0,40.0,4.0,2344320.0,1,9.5
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,100.0,31.0,6.0,1902240.0,2,20.225
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,582.0,70.0,13.0,3323520.0,1,1.6
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,24.0,1.0,1.0,1336320.0,1,1.5
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,24.0,1.0,1.0,1055520.0,1,7.375
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,300.0,50.0,12.0,2028960.0,3,163.01
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,780.0,165.0,30.0,2568960.0,3,251.37
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,451.0,130.0,12.0,4563360.0,2,27.465
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,720.0,133.0,17.0,2391840.0,2,53.35
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,42.0,1.0,1.0,1215360.0,1,4.1
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,409.0,120.0,15.0,3974400.0,3,104.625
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,600.0,94.0,10.0,2170080.0,1,4.0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,500.0,150.0,12.0,6547680.0,3,162.835
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,500.0,65.0,1.0,2321280.0,2,51.5
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,29.0,11.0,1.0,3500640.0,1,3.0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,124.0,47.0,1.0,3903840.0,1,4.375
